step,epoch,branch,train_loss,next_lr,check_acc,check_loss,test_acc,test_loss
0,15,A_no_ga,,0.0005000000000000002,64.37777777777778,1.0402982177734375,64.31,1.0517813915252685
0,15,B_ga,,0.0005000000000000002,64.17777777777778,1.0421259201897515,64.56,1.0523096046447753
1,16,A_no_ga,0.7822263099246555,0.0004477357683661734,65.4,1.0347851651509603,65.15,1.020297304058075
1,16,B_ga,0.7782505521297455,0.0004477357683661734,66.24444444444444,0.9807733501858181,66.2,0.9841776773452758
2,17,A_no_ga,0.776129929192861,0.00039604415459112036,64.15555555555555,1.0343470823499892,65.55,1.018325952720642
2,17,B_ga,0.7783112696223788,0.00039604415459112036,65.17777777777778,1.0077106035020615,65.65,1.0131567054748536
3,18,A_no_ga,0.7641450270228916,0.0003454915028125264,66.44444444444444,0.9860027622646755,66.57,0.9946501789093017
3,18,B_ga,0.765261901945538,0.0003454915028125264,67.08888888888889,0.9572770093282064,67.59,0.9700357419967651
4,19,A_no_ga,0.7539354273902046,0.00029663167846210003,63.4,1.0905375459459092,64.49,1.0694762580871582
4,19,B_ga,0.7529840519481235,0.00029663167846210003,63.644444444444446,1.0752499749925402,63.52,1.0621125001907348
5,20,A_no_ga,0.7458117420832316,0.00025000000000000017,66.4888888888889,0.9853261053297255,66.53,0.9836336530685424
5,20,B_ga,0.744178525045183,0.00025000000000000017,66.75555555555556,0.9908897683885363,66.71,0.9975692611694336
