step,epoch,branch,train_loss,next_lr,check_acc,check_loss,test_acc,test_loss
0,15,A_no_ga,,0.0005000000000000002,67.28888888888889,0.9455796076456706,67.81,0.9556810730934143
0,15,B_ga,,0.0005000000000000002,66.82222222222222,0.9646752128601074,67.03,0.9767340074539185
1,16,A_no_ga,0.7688523773829142,0.0004477357683661734,67.15555555555555,0.9549768996768527,67.07,0.9964154096603394
1,16,B_ga,0.7717010939915975,0.0004477357683661734,65.26666666666667,1.0120218399895562,65.37,1.035688855075836
2,17,A_no_ga,0.7632698357688056,0.00039604415459112036,67.06666666666666,0.979848371081882,66.27,0.990741405582428
2,17,B_ga,0.7584309835010105,0.00039604415459112036,68.06666666666666,0.9689364950391981,66.71,0.9762893197059631
3,18,A_no_ga,0.7525050245920817,0.0003454915028125264,66.66666666666667,0.9988440149095323,66.65,1.0066763268470764
3,18,B_ga,0.7507483343124389,0.0003454915028125264,64.42222222222222,1.0674761259290908,64.07,1.085524174785614
4,19,A_no_ga,0.7488070585992601,0.00029663167846210003,67.0,0.9489705208672418,66.94,0.9700808131217956
4,19,B_ga,0.743755078930325,0.00029663167846210003,67.22222222222223,0.9566958088344998,67.16,0.9588886735916138
5,20,A_no_ga,0.7335301436530219,0.00025000000000000017,65.13333333333334,1.0412566375732422,64.92,1.0498669313430786
5,20,B_ga,0.7327849695629544,0.00025000000000000017,66.71111111111111,0.9892155134412978,65.69,1.0156967052459718
