step,epoch,branch,train_loss,next_lr,check_acc,check_loss,test_acc,test_loss
0,15,A_no_ga,,0.0005000000000000002,65.95555555555555,1.019391528447469,65.24,1.0359128009796144
0,15,B_ga,,0.0005000000000000002,65.46666666666667,1.022129321416219,65.28,1.0399236904144287
1,16,A_no_ga,0.7820100597487556,0.0004477357683661734,65.86666666666666,0.9948286249372694,66.08,1.0107829716682435
1,16,B_ga,0.7823098549736871,0.0004477357683661734,66.55555555555556,0.9372988741132948,67.2,0.9641079181671143
2,17,A_no_ga,0.7671006896442837,0.00039604415459112036,66.17777777777778,0.9664820014105903,65.91,0.9963324541091919
2,17,B_ga,0.7644527859475878,0.00039604415459112036,67.35555555555555,0.9451164690653483,65.74,0.9945683064460754
3,18,A_no_ga,0.7638856815126207,0.0003454915028125264,65.15555555555555,1.011828549279107,64.89,1.0504865440368651
3,18,B_ga,0.7658817912313673,0.0003454915028125264,66.42222222222222,0.9549920397864448,66.51,0.9802436914443969
4,19,A_no_ga,0.7491221536106534,0.00029663167846210003,66.0,1.0035623351203071,65.48,1.018290431213379
4,19,B_ga,0.7571911872122022,0.00029663167846210003,68.33333333333333,0.939240542517768,66.98,0.9666694915771484
5,20,A_no_ga,0.7460091063605414,0.00025000000000000017,66.5111111111111,0.9585845396253798,66.29,0.9994720729827881
5,20,B_ga,0.7465016043027242,0.00025000000000000017,66.26666666666667,0.9660782483418783,66.17,1.0090802555084228
